Signal, Duration (µs)
0, 1179
1, 344
0, 1131
1, 362
0, 1128
1, 366
0, 1120
1, 1130
0, 388
1, 1110
0, 387
1, 1120
0, 382
1, 328
0, 1156
1, 344
0, 1140
1, 1111
0, 381
1, 1127
0, 364
1, 1129
0, 374
1, 361
0, 1127
1, 1122
0, 383
1, 343
0, 1152
1, 341
0, 1138
1, 346
0, 1138
1, 365
0, 1128
1, 1133
0, 367
1, 363
0, 11804
1, 1118
0, 375
1, 1132
0, 368
1, 1132
0, 364
1, 359
0, 1145
1, 348
0, 1134
1, 346
0, 1150
1, 336
0, 1138
1, 345
0, 1134
1, 363
0, 1140
1, 1112
0, 382
1, 1121
0, 382
1, 1110
0, 382
1, 343
0, 1152
1, 346
0, 1125
1, 1113
0, 382
1, 1125
0, 381
1, 1118
0, 382
1, 348
0, 1129
1, 1125
0, 390
1, 335
0, 1137
1, 362
0, 1127
1, 362
0, 1133
1, 341
0, 1155
1, 1113
0, 382
1, 354
0, 11812
1, 1120
0, 379
1, 1112
0, 380
1, 1120
0, 383
1, 344
0, 1148
1, 348
0, 1130
1, 342
0, 1143
1, 352
0, 1135
1, 360
0, 1132
1, 363
0, 1126
1, 1119
0, 383
1, 1110
0, 386
1, 1121
0, 367
1, 365
0, 1141
1, 344
0, 1139
1, 1115
0, 363
1, 1128
0, 372
1, 1123
0, 384
1, 355
0, 1138
1, 1115
0, 387
1, 339
0, 1136
1, 344
0, 1140
1, 348
0, 1141
1, 364
0, 1138
1, 1109
0, 394
1, 340
0, 11824
1, 1123
0, 354
1, 1135
0, 383
1, 1118
0, 378
1, 345
0, 1131
1, 371
0, 1123
1, 365
0, 1130
1, 346
0, 1151
1, 346
0, 1139
1, 349
0, 1130
1, 1120
0, 384
1, 1102
0, 391
1, 1114
0, 386
1, 341
0, 1141
1, 344
0, 1149
1, 1119
0, 383
1, 1107
0, 396
1, 1100
0, 385
1, 343
0, 1150
1, 1123
0, 384
1, 350
0, 1139
1, 343
0, 1143
1, 345
0, 1149
1, 342
0, 1137
1, 1118
0, 376
1, 362
0, 11807
1, 1130
0, 362
1, 1120
0, 384
1, 1110
0, 386
1, 345
0, 1146
1, 356
0, 1129
1, 364
0, 1131
1, 351
0, 1129
1, 363
0, 1136
1, 342
0, 1147
1, 1116
0, 383
1, 1119
0, 381
1, 1115
0, 383
1, 347
0, 1148
1, 345
0, 1133
1, 1128
0, 381
1, 1121
0, 369
1, 1133
0, 370
1, 342
0, 1147
1, 1131
0, 379
1, 343
0, 1145
1, 342
0, 1135
1, 348
0, 1155
1, 342
0, 1135
1, 1127
0, 365
1, 363
0, 11806
1, 1128
0, 375
1, 1125
0, 365
1, 1131
0, 371
1, 362
0, 1130
1, 354
0, 1131
1, 364
0, 1126
1, 356
0, 1148
1, 346
0, 1135
1, 346
0, 1139
1, 1122
0, 382
1, 1120
0, 383
1, 1114
0, 390
1, 342
0, 1132
1, 349
0, 1140
1, 1135
0, 365
1, 1131
0, 383
1, 1122
0, 383
1, 344
0, 1131
1, 1134
0, 365
1, 346
0, 1143
1, 364
0, 1128
1, 346
0, 1140
1, 367
0, 1142
1, 1104
0, 388
1, 344
0, 11807
1, 1133
0, 370
1, 1137
0, 362
1, 1119
0, 388
1, 335
0, 1151
1, 350
0, 1131
1, 347
0, 1156
1, 338
0, 1146
1, 342
0, 1135
1, 367
0, 1130
1, 1121
0, 371
1, 1134
0, 375
1, 1122
0, 364
1, 364
0, 1136
1, 341
0, 1144
1, 1117
0, 382
1, 1119
0, 393
1, 1103
0, 394
1, 348
0, 1135
1, 1120
0, 383
1, 356
0, 1136
1, 355
0, 1122
1, 348
0, 1143
1, 343
0, 1154
1, 1110
0, 385
1, 341
0, 11827
1, 1109
0, 388
1, 1125
0, 362
1, 1129
0, 376
1, 359
0, 1141
1, 341
0, 1143
1, 346
0, 1139
1, 349
0, 1133
1, 364
0, 1136
1, 336
0, 1140
1, 1124
0, 385
1, 1113
0, 386
1, 1124
0, 371
1, 348
0, 1152
1, 344
0, 1134
1, 1126
0, 379
1, 1124
0, 373
1, 1111
0, 384
1, 357
0, 1131
1, 1123
0, 374
1, 362
0, 1130
1, 339
0, 1147
1, 356
0, 1135
1, 350
0, 1136
1, 1119
0, 395
1, 336
0, 11819
1, 1128
0, 365
1, 1124
0, 384
1, 1112
0, 389
1, 344
0, 1142
1, 348
0, 1147
1, 343
0, 1143
1, 345
0, 1139
1, 353
0, 1128
1, 369
0, 1124
1, 1134
0, 365
1, 1122
0, 368
1, 1117
0, 385
1, 343
0, 1151
1, 348
0, 1132
1, 1132
0, 360
1, 1139
0, 371
1, 1110
0, 388
1, 344
0, 1143
1, 1112
0, 383
1, 348
0, 1142
1, 347
0, 1153
1, 338
0, 1151
1, 346
0, 1142
1, 1118
0, 364
1, 351
0, 11821
1, 1108
0, 371
1, 1128
0, 376
1, 1121
0, 367
1, 342
0, 1141
1, 367
0, 1138
1, 346
0, 1129
1, 370
0, 1122
1, 367
0, 1130
1, 345
0, 1137
1, 1132
0, 367
1, 1129
0, 372
1, 1124
0, 378
1, 346
0, 1141
1, 365
0, 1134
1, 1119
0, 365
1, 1137
0, 366
1, 1124
0, 384
1, 353
0, 1137
1, 1119
0, 386
1, 347
0, 1129
1, 363
0, 1138
1, 350
0, 1135
1, 343
0, 1154
1, 1109
0, 384
1, 353
0, 11804
1, 1136
0, 376
1, 1123
0, 364
1, 1120
0, 363
1, 362
0, 1143
1, 351
0, 1116
1, 365
0, 1137
1, 338
0, 1145
1, 345
0, 1155
1, 334
0, 1148
1, 1126
0, 362
1, 1121
0, 384
1, 1131
0, 380
1, 341
0, 1136
1, 344
0, 1159
1, 1119
0, 374
1, 1116
0, 389
1, 1108
0, 384
1, 352
0, 1140
1, 1108
0, 165
