Time (µs), Signal
159, 0
231, 0
262, 0
296, 0
322, 0
347, 0
377, 0
404, 0
436, 0
457, 0
478, 0
498, 0
519, 0
539, 0
559, 0
579, 0
599, 0
661, 0
683, 0
703, 0
724, 0
747, 0
768, 0
788, 0
808, 0
828, 0
848, 0
869, 0
889, 0
909, 0
929, 0
949, 0
969, 0
998, 0
1019, 0
1039, 0
1059, 0
1079, 0
1099, 0
1119, 0
1139, 0
1159, 0
1179, 0
1199, 0
1219, 0
1239, 0
1258, 0
1278, 0
1298, 0
1318, 0
1338, 0
1358, 1
1378, 1
1398, 1
1418, 1
1438, 1
1458, 1
1478, 1
1501, 1
1522, 1
1542, 1
1562, 1
1582, 1
1602, 1
1622, 1
1642, 1
1662, 1
1682, 1
1702, 1
1722, 0
1742, 0
1762, 0
1782, 0
1802, 0
1822, 0
1842, 0
1861, 0
1881, 0
1901, 0
1921, 0
1941, 0
1961, 0
1981, 0
2004, 0
2024, 0
2044, 0
2064, 0
2084, 0
2104, 0
2124, 0
2144, 0
2164, 0
2184, 0
2222, 0
2243, 0
2263, 0
2283, 0
2307, 0
2327, 0
2347, 0
2367, 0
2387, 0
2407, 0
2427, 0
2447, 0
2467, 0
2489, 0
2510, 0
2530, 0
2550, 0
2570, 0
2590, 0
2610, 0
2630, 0
2650, 0
2669, 0
2689, 0
2709, 0
2729, 0
2753, 0
2773, 0
2793, 0
2813, 0
2833, 0
2853, 0
2873, 1
2892, 1
2912, 1
2932, 1
2952, 1
2972, 1
2995, 1
3016, 1
3036, 1
3056, 1
3076, 1
3096, 1
3116, 1
3136, 1
3156, 1
3175, 1
3195, 1
3215, 1
3235, 1
3255, 0
3275, 0
3295, 0
3315, 0
3335, 0
3355, 0
3375, 0
3395, 0
3415, 0
3434, 0
3454, 0
3483, 0
3504, 0
3525, 0
3545, 0
3565, 0
3585, 0
3611, 0
3632, 0
3713, 0
3737, 0
3759, 0
3779, 0
3799, 0
3819, 0
3839, 0
3859, 0
3879, 0
3899, 0
3920, 0
3940, 0
3960, 0
3979, 0
4000, 0
4020, 0
4040, 0
4060, 0
4080, 0
4100, 0
4123, 0
4143, 0
4163, 0
4183, 0
4203, 0
4223, 0
4243, 0
4263, 0
4283, 0
4303, 0
4323, 0
4343, 0
4363, 0
4383, 0
4403, 1
4423, 1
4443, 1
4463, 1
4483, 1
4503, 1
4523, 1
4543, 1
4563, 1
4583, 1
4603, 1
4626, 1
4646, 1
4666, 1
4686, 1
4706, 1
4725, 1
4749, 1
4769, 1
4789, 0
4809, 0
4829, 0
4849, 0
4869, 0
4900, 0
4921, 0
4942, 0
4962, 0
4985, 0
5006, 0
5026, 0
5046, 0
5066, 0
5085, 0
5105, 0
5129, 0
5149, 0
5169, 0
5189, 0
5209, 0
5229, 0
5249, 0
5269, 0
5289, 0
5308, 0
5329, 0
5348, 0
5368, 0
5388, 0
5408, 0
5428, 0
5448, 0
5467, 0
5487, 0
5507, 0
5527, 0
5547, 0
5567, 0
5587, 0
5610, 0
5630, 0
5650, 0
5671, 0
5691, 0
5710, 0
5730, 0
5750, 0
5770, 0
5790, 0
5810, 0
5830, 0
5850, 0
5870, 0
5890, 0
5909, 0
5929, 1
5949, 1
5969, 1
5989, 1
6009, 1
6029, 1
6049, 1
6068, 1
6088, 1
6111, 1
6132, 1
6152, 1
6172, 1
6192, 1
6212, 1
6231, 1
6251, 1
6273, 1
6293, 1
6313, 1
6333, 1
6353, 1
6373, 1
6393, 1
6413, 1
6433, 1
6453, 1
6472, 1
6493, 1
6513, 1
6533, 1
6552, 1
6572, 1
6592, 1
6615, 1
6635, 1
6655, 1
6676, 1
6696, 1
6716, 1
6739, 1
6760, 1
6780, 1
6800, 1
6820, 1
6840, 1
6860, 1
6880, 1
6900, 1
6920, 1
6939, 1
6959, 1
6979, 1
6999, 1
7019, 1
7039, 1
7059, 1
7079, 0
7099, 0
7121, 0
7141, 0
7161, 0
7181, 0
7202, 0
7221, 0
7241, 0
7261, 0
7281, 0
7301, 0
7321, 0
7341, 0
7361, 0
7381, 0
7400, 0
7420, 0
7447, 0
7467, 0
7488, 1
7508, 1
7528, 1
7548, 1
7569, 1
7590, 1
7612, 1
7633, 1
7692, 1
7715, 1
7736, 1
7756, 1
7776, 1
7797, 1
7817, 1
7837, 1
7856, 1
7876, 1
7896, 1
7916, 1
7936, 1
7956, 1
7976, 1
7996, 1
8016, 1
8036, 1
8056, 1
8076, 1
8096, 1
8119, 1
8139, 1
8160, 1
8180, 1
8200, 1
8219, 1
8240, 1
8260, 1
8279, 1
8299, 1
8319, 1
